scenario,iteration,model,precision,context,fragmentation,decay_applied
E2,15,HyperGraph,1.0,1.0,0.0,0.941262783934482
E2,16,BinaryGraph,0.3333333333333333,0.0,1.0,0.9370518569836767
E2,16,HyperGraph,1.0,1.0,0.0,0.9370518569836767
E2,17,BinaryGraph,0.3333333333333333,0.0,1.0,0.8798444791448633
E2,17,HyperGraph,1.0,1.0,0.0,0.8798444791448633
E2,18,BinaryGraph,0.3333333333333333,0.0,1.0,0.9138949494866004
E2,18,HyperGraph,1.0,1.0,0.0,0.9138949494866004
E2,19,BinaryGraph,0.3333333333333333,0.0,1.0,0.9108970211438172
E2,19,HyperGraph,1.0,1.0,0.0,0.9108970211438172
E2,20,BinaryGraph,0.3333333333333333,0.0,1.0,0.8652839268549635
E2,20,HyperGraph,1.0,1.0,0.0,0.8652839268549635
E2,21,BinaryGraph,0.3333333333333333,0.0,1.0,0.9262510800075151
E2,21,HyperGraph,1.0,1.0,0.0,0.9262510800075151
E2,22,BinaryGraph,0.3333333333333333,0.0,1.0,0.9039379030119625
E2,22,HyperGraph,1.0,1.0,0.0,0.9039379030119625
E2,23,BinaryGraph,0.3333333333333333,0.0,1.0,0.9278626478630558
E2,23,HyperGraph,1.0,1.0,0.0,0.9278626478630558
E2,24,BinaryGraph,0.3333333333333333,0.0,1.0,0.9030353672195177
E2,24,HyperGraph,1.0,1.0,0.0,0.9030353672195177
E2,25,BinaryGraph,0.3333333333333333,0.0,1.0,0.8500571896127943
E2,25,HyperGraph,1.0,1.0,0.0,0.8500571896127943
E2,26,BinaryGraph,0.3333333333333333,0.0,1.0,0.8824156057004673
E2,26,HyperGraph,1.0,1.0,0.0,0.8824156057004673
E2,27,BinaryGraph,0.3333333333333333,0.0,1.0,0.8519476742385832
E2,27,HyperGraph,1.0,1.0,0.0,0.8519476742385832
E2,28,BinaryGraph,0.3333333333333333,0.0,1.0,0.9429098616264616
E2,28,HyperGraph,1.0,1.0,0.0,0.9429098616264616
E2,29,BinaryGraph,0.3333333333333333,0.0,1.0,0.9378721877823184
E2,29,HyperGraph,1.0,1.0,0.0,0.9378721877823184
E2,30,BinaryGraph,0.3333333333333333,0.0,1.0,0.9331665529361179
E2,30,HyperGraph,1.0,1.0,0.0,0.9331665529361179
E2,31,BinaryGraph,0.3333333333333333,0.0,1.0,0.8807514125402661
E2,31,HyperGraph,1.0,1.0,0.0,0.8807514125402661
E2,32,BinaryGraph,0.3333333333333333,0.0,1.0,0.8557925166494187
E2,32,HyperGraph,1.0,1.0,0.0,0.8557925166494187
E2,33,BinaryGraph,0.3333333333333333,0.0,1.0,0.937800959920404
E2,33,HyperGraph,1.0,1.0,0.0,0.937800959920404
E2,34,BinaryGraph,0.3333333333333333,0.0,1.0,0.9446949445297994
E2,34,HyperGraph,1.0,1.0,0.0,0.9446949445297994
E2,35,BinaryGraph,0.3333333333333333,0.0,1.0,0.8585653452067878
E2,35,HyperGraph,1.0,1.0,0.0,0.8585653452067878
E2,36,BinaryGraph,0.3333333333333333,0.0,1.0,0.8985990463316613
E2,36,HyperGraph,1.0,1.0,0.0,0.8985990463316613
E2,37,BinaryGraph,0.3333333333333333,0.0,1.0,0.8569212518468383
E2,37,HyperGraph,1.0,1.0,0.0,0.8569212518468383
E2,38,BinaryGraph,0.3333333333333333,0.0,1.0,0.9260602165257231
E2,38,HyperGraph,1.0,1.0,0.0,0.9260602165257231
E2,39,BinaryGraph,0.3333333333333333,0.0,1.0,0.9265834429306987
E2,39,HyperGraph,1.0,1.0,0.0,0.9265834429306987
E2,40,BinaryGraph,0.3333333333333333,0.0,1.0,0.8628391464499763
E2,40,HyperGraph,1.0,1.0,0.0,0.8628391464499763
E2,41,BinaryGraph,0.3333333333333333,0.0,1.0,0.8975282378098731
E2,41,HyperGraph,1.0,1.0,0.0,0.8975282378098731
E2,42,BinaryGraph,0.3333333333333333,0.0,1.0,0.9049803593494944
E2,42,HyperGraph,1.0,1.0,0.0,0.9049803593494944
E2,43,BinaryGraph,0.3333333333333333,0.0,1.0,0.8765056628940059
E2,43,HyperGraph,1.0,1.0,0.0,0.8765056628940059
E2,44,BinaryGraph,0.3333333333333333,0.0,1.0,0.9372433041085257
E2,44,HyperGraph,1.0,1.0,0.0,0.9372433041085257
E2,45,BinaryGraph,0.3333333333333333,0.0,1.0,0.8923137940200887
E2,45,HyperGraph,1.0,1.0,0.0,0.8923137940200887
E2,46,BinaryGraph,0.3333333333333333,0.0,1.0,0.8711798205442082
E2,46,HyperGraph,1.0,1.0,0.0,0.8711798205442082
E2,47,BinaryGraph,0.3333333333333333,0.0,1.0,0.9039296088779458
E2,47,HyperGraph,1.0,1.0,0.0,0.9039296088779458
E2,48,BinaryGraph,0.3333333333333333,0.0,1.0,0.9229931069089976
E2,48,HyperGraph,1.0,1.0,0.0,0.9229931069089976
E2,49,BinaryGraph,0.3333333333333333,0.0,1.0,0.8701151063389696
E2,49,HyperGraph,1.0,1.0,0.0,0.8701151063389696
E2,50,BinaryGraph,0.3333333333333333,0.0,1.0,0.8811716291300895
E2,50,HyperGraph,1.0,1.0,0.0,0.8811716291300895
E2,51,BinaryGraph,0.3333333333333333,0.0,1.0,0.9495149356660895
E2,51,HyperGraph,1.0,1.0,0.0,0.9495149356660895
E2,52,BinaryGraph,0.3333333333333333,0.0,1.0,0.9149878057639453
E2,52,HyperGraph,1.0,1.0,0.0,0.9149878057639453
E2,53,BinaryGraph,0.3333333333333333,0.0,1.0,0.8938100083914504
E2,53,HyperGraph,1.0,1.0,0.0,0.8938100083914504
E2,54,BinaryGraph,0.3333333333333333,0.0,1.0,0.901757584103559
E2,54,HyperGraph,1.0,1.0,0.0,0.901757584103559
E2,55,BinaryGraph,0.3333333333333333,0.0,1.0,0.8621004195868266
E2,55,HyperGraph,1.0,1.0,0.0,0.8621004195868266
E2,56,BinaryGraph,0.3333333333333333,0.0,1.0,0.8724697337031557
E2,56,HyperGraph,1.0,1.0,0.0,0.8724697337031557
E2,57,BinaryGraph,0.3333333333333333,0.0,1.0,0.8838085562147455
E2,57,HyperGraph,1.0,1.0,0.0,0.8838085562147455
E2,58,BinaryGraph,0.3333333333333333,0.0,1.0,0.9088308718457233
E2,58,HyperGraph,1.0,1.0,0.0,0.9088308718457233
E2,59,BinaryGraph,0.3333333333333333,0.0,1.0,0.8730114732596577
E2,59,HyperGraph,1.0,1.0,0.0,0.8730114732596577
E2,60,BinaryGraph,0.3333333333333333,0.0,1.0,0.872021738445156
E2,60,HyperGraph,1.0,1.0,0.0,0.872021738445156
E2,61,BinaryGraph,0.3333333333333333,0.0,1.0,0.8570993086009032
E2,61,HyperGraph,1.0,1.0,0.0,0.8570993086009032
E2,62,BinaryGraph,0.3333333333333333,0.0,1.0,0.9131102957270099
E2,62,HyperGraph,1.0,1.0,0.0,0.9131102957270099
E2,63,BinaryGraph,0.3333333333333333,0.0,1.0,0.8728941783811154
E2,63,HyperGraph,1.0,1.0,0.0,0.8728941783811154
E2,64,BinaryGraph,0.3333333333333333,0.0,1.0,0.9405420013006127
E2,64,HyperGraph,1.0,1.0,0.0,0.9405420013006127
E2,65,BinaryGraph,0.3333333333333333,0.0,1.0,0.9359635400253746
E2,65,HyperGraph,1.0,1.0,0.0,0.9359635400253746
E2,66,BinaryGraph,0.3333333333333333,0.0,1.0,0.8570857349888653
E2,66,HyperGraph,1.0,1.0,0.0,0.8570857349888653
E2,67,BinaryGraph,0.3333333333333333,0.0,1.0,0.8738004634368995
E2,67,HyperGraph,1.0,1.0,0.0,0.8738004634368995
E2,68,BinaryGraph,0.3333333333333333,0.0,1.0,0.916897777829628
E2,68,HyperGraph,1.0,1.0,0.0,0.916897777829628
E2,69,BinaryGraph,0.3333333333333333,0.0,1.0,0.8714236807370438
E2,69,HyperGraph,1.0,1.0,0.0,0.8714236807370438
E2,70,BinaryGraph,0.3333333333333333,0.0,1.0,0.8632311848725025
E2,70,HyperGraph,1.0,1.0,0.0,0.8632311848725025
E2,71,BinaryGraph,0.3333333333333333,0.0,1.0,0.943551424058067
E2,71,HyperGraph,1.0,1.0,0.0,0.943551424058067
E2,72,BinaryGraph,0.3333333333333333,0.0,1.0,0.9071043093325284
E2,72,HyperGraph,1.0,1.0,0.0,0.9071043093325284
E2,73,BinaryGraph,0.3333333333333333,0.0,1.0,0.8972671026311794
E2,73,HyperGraph,1.0,1.0,0.0,0.8972671026311794
E2,74,BinaryGraph,0.3333333333333333,0.0,1.0,0.9284619424290753
E2,74,HyperGraph,1.0,1.0,0.0,0.9284619424290753
E2,75,BinaryGraph,0.3333333333333333,0.0,1.0,0.9307496997766643
E2,75,HyperGraph,1.0,1.0,0.0,0.9307496997766643
E2,76,BinaryGraph,0.3333333333333333,0.0,1.0,0.8690409914361877
E2,76,HyperGraph,1.0,1.0,0.0,0.8690409914361877
E2,77,BinaryGraph,0.3333333333333333,0.0,1.0,0.8596930814228823
E2,77,HyperGraph,1.0,1.0,0.0,0.8596930814228823
E2,78,BinaryGraph,0.3333333333333333,0.0,1.0,0.8931051182406378
E2,78,HyperGraph,1.0,1.0,0.0,0.8931051182406378
E2,79,BinaryGraph,0.3333333333333333,0.0,1.0,0.8923578623019921
E2,79,HyperGraph,1.0,1.0,0.0,0.8923578623019921
E2,80,BinaryGraph,0.3333333333333333,0.0,1.0,0.8967024668036675
E2,80,HyperGraph,1.0,1.0,0.0,0.8967024668036675
E2,81,BinaryGraph,0.3333333333333333,0.0,1.0,0.922907584945985
E2,81,HyperGraph,1.0,1.0,0.0,0.922907584945985
E2,82,BinaryGraph,0.3333333333333333,0.0,1.0,0.9173364547293301
E2,82,HyperGraph,1.0,1.0,0.0,0.9173364547293301
E2,83,BinaryGraph,0.3333333333333333,0.0,1.0,0.9484165211365966
E2,83,HyperGraph,1.0,1.0,0.0,0.9484165211365966
E2,84,BinaryGraph,0.3333333333333333,0.0,1.0,0.8598417871151959
E2,84,HyperGraph,1.0,1.0,0.0,0.8598417871151959
E2,85,BinaryGraph,0.3333333333333333,0.0,1.0,0.8902621282102269
E2,85,HyperGraph,1.0,1.0,0.0,0.8902621282102269
E2,86,BinaryGraph,0.3333333333333333,0.0,1.0,0.8839302605394963
E2,86,HyperGraph,1.0,1.0,0.0,0.8839302605394963
E2,87,BinaryGraph,0.3333333333333333,0.0,1.0,0.9361672536352791
E2,87,HyperGraph,1.0,1.0,0.0,0.9361672536352791
E2,88,BinaryGraph,0.3333333333333333,0.0,1.0,0.8748656333920285
E2,88,HyperGraph,1.0,1.0,0.0,0.8748656333920285
E2,89,BinaryGraph,0.3333333333333333,0.0,1.0,0.8690208908440811
E2,89,HyperGraph,1.0,1.0,0.0,0.8690208908440811
E2,90,BinaryGraph,0.3333333333333333,0.0,1.0,0.8948613547833132
E2,90,HyperGraph,1.0,1.0,0.0,0.8948613547833132
E2,91,BinaryGraph,0.3333333333333333,0.0,1.0,0.8921881639834404
E2,91,HyperGraph,1.0,1.0,0.0,0.8921881639834404
